Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,schinese
ZombieINC_challenge_tier5_KillBossDemolition_statement,Quest,Quest Info,,X,"Regardless of what could happen, don't stop running",,"不管发生什么，都不要停止奔跑"
ZombieINC_challenge_tier5_KillBossDemolitionInfested_name,Quest,Quest Info,,X,Tier 6 Hunt the Special Zombie,,6级 猎杀特殊感染者
ZombieINC_challenge_tier5_KillBossDemolitionInfested_subtitle,Quest,Quest Info,,X,I'm Back baby!,,我回来了宝贝！
ZombieINC_challenge_tier5_KillBossDemolitionInfested_description,Quest,Quest Info,,X,"The war with the bandits has started with the death of the demolisher. Now they've made another monster. I gave it the name Demolisher V2, but the hunters didn't like that much. People were talking about the name TYRANT, and I have to agree that it suits better. Anyway, he was released by the bandits on one of our routes that we used to loot the city. This could be a bad thing in the long run. If you fail this mission, I will have to change our plans drastically to fight this war.",,"与土匪的战争随着毁灭者的死亡而开始。现在他们又制造了另一个怪物。我给它起了个名字叫毁灭者V2，但是猎人们好像不太喜欢这个名字。人们都在谈论暴君这个名字，好吧，我不得不承认这个名字更合适。总之，他被土匪放在了我们去城市的必经之路上。长远来看，这可不是什么好事。如果你这次任务失败了，我们将不得不彻底改变作战计划。"
ZombieINC_challenge_tier5_KillBossDemolitionInfested_offer,Quest,Quest Info,,X,"Do you remember the monstrosity that appeared before? Of course you do. Well, now he is back and more powerful than ever. Our hunters named him [DECEA3]TYRANT[-]. I've decided to send only you with your squad (if someone is crazy enough to handle you). I've already had a lot of deaths, and I don't want to take more risks. You are part of the Elite, so I have trust that you will do your job. Last time he was seen just by [DECEA3]{poi.name}[-].",,"你还记得之前出现的怪物吗?你当然知道。现在他回来了，而且比以前更强大。我们的猎人称他为[DECEA3]暴君[-]。我决定只派你和你的小队去(如果有人疯狂到能和你一起作战的话)。我们已经死过很多人了，我不想再冒险了。你可是精英中的精英，所以我相信你会做好你的工作。上次见到他是在[DECEA3]{poi.name}[-]附近"
ZombieINC_challenge_tier5_KillBossDemolitionInfested_completion,Quest,Quest Info,,X,"Because of you, now we can dominate more areas in this region. Our war with the bandits is just beginning.",,"幸好有你，我们现在可以在这里更多的地方站住脚。我们与土匪的战争才刚刚开始。"
ZombieINC_challenge_tier5_KillBossDemolitionInfested_response,Quest,Quest Info,,X,Hunt the Tyrant ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]暴君([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier5_KillBossDemolitionInfested_statement,Quest,Quest Info,,X,"Old friend, new problems.",,"老朋友，新问题。"
ZombieINC_challenge_tier1_DefensePOI_name,Quest,Quest Info,,X,Tier 1 Defend The Construction,,1级 坚守阵地
ZombieINC_challenge_tier1_DefensePOI_subtitle,Quest,Quest Info,,X,This Is Something,,紧要关头
ZombieINC_challenge_tier1_DefensePOI_description,Quest,Quest Info,,X,"The payment is high, so are the risks. You will need to first clean the construction that has been designated for you. After that, you will have to use your bow to shot the arrow with flare, so the plane can know your location and drop a bait to attract the zombies. Good luck!",,"高风险，高回报。你需要先清理指定给你的建筑物。在那之后，使用你的弓射出带有照明弹的箭，这样飞机就可以知道你的位置并投放诱饵来吸引僵尸。祝你好运！"
ZombieINC_challenge_tier1_DefensePOI_offer,Quest,Quest Info,,X,"Here is the thing, your job is to attract the zombies to the location that I will designate for you. I have a plane that is prepared to aggro zombies toward you. You need to [DECEA3]kill all zombies from each horde[-]. During that time, other people that I hired will loot the area more peacefully, fetching items for me. Deal?",,"事情是这样的，你的任务是把僵尸吸引到我给你指定的地点。我有一架飞机可以把僵尸带到你身边。你需要[DECEA3]杀死所有波次袭来的僵尸[-]。在此期间，我雇佣的其他人将更安全地洗劫该地区，为我获取道具。成交?"
ZombieINC_challenge_tier1_DefensePOI_completion,Quest,Quest Info,,X,"Not bad at all, maybe you really have some potential! Here is your reward",,"还不错，也许你真的很有潜力!这是你的报酬。"
ZombieINC_challenge_tier1_DefensePOI_response,Quest,Quest Info,,X,Defense POI ([DECEA3]{poi.distance} {poi.direction}[-]),,防守建筑([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier1_DefensePOI_statement,Quest,Quest Info,,X,"So, you are the new person in the town.",,"所以，你就是镇上新来的那个人。"
ZombieINC_challenge_tier2_DefensePOI_name,Quest,Quest Info,,X,Tier 2 Defend The Construction,,2级 坚守阵地
ZombieINC_challenge_tier2_DefensePOI_subtitle,Quest,Quest Info,,X,Something Smells Bad,,掩鼻而过
ZombieINC_challenge_tier2_DefensePOI_description,Quest,Quest Info,,X,"The payment is high, so are the risks. You already know that right? well... No!?So let me explain again.\n\nYou will need to first clean the construction that has been randomly chosen for you with care. After that, you will have to use your bow to shot the arrow with flare, so the plane can drop the bait to your location. I don't have any hints for this job, take care.",,"高风险，高回报。我想你已经知道了，对吧?嗯……不知道!?好吧，让我再解释一遍。\n\n首先，你需要仔细地清理随机为你选择的建筑。在那之后，你必须用你的弓发射带有照明弹的箭，这样飞机就可以把诱饵扔到你的位置。我没有任何关于这份工作的线索，小心点。"
ZombieINC_challenge_tier2_DefensePOI_offer,Quest,Quest Info,,X,"So, This is the same job that you did before right? was that... you? I think so. You should be able to do this mission without any complications, you will encounter just normal zombies. Distract the zombies as always while we do our job. Are you in?",,"这和你以前做的工作是一样的，对吗?那是……你?我想是的。你应该能够轻松完成这个任务，你会遇到只是普通的僵尸。像往常一样，在我们工作的时候分散僵尸的注意力。你加入吗?"
ZombieINC_challenge_tier2_DefensePOI_completion,Quest,Quest Info,,X,"I apologize, that horde shouldn't have existed. Something smells bad about that; it's really strange that these feral undead were heading to you. But no more excuses, here is your reward.",,"我很抱歉，那群人本不该存在。有些东西闻起来很糟糕;真奇怪，这些野蛮的活死人居然找得是你。不多说了,这是你的奖励。"
ZombieINC_challenge_tier2_DefensePOI_response,Quest,Quest Info,,X,Defense POI ([DECEA3]{poi.distance} {poi.direction}[-]),,防守建筑([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier2_DefensePOI_statement,Quest,Quest Info,,X,"Here you are again, I thought that maybe you could have fled from this town Kid, after your initial missions.",,"你又来了，我还以为你可能在完成了最初的任务后，逃离了这个小镇。"
ZombieINC_challenge_tier3_DefenseConstruction_name,Quests,Quest Info,,x,Tier 3 Defend The Area,,3级 坚守阵地
ZombieINC_challenge_tier3_DefenseConstruction_subtitle,Quests,Quest Info,,x,Something Is Not Right,,有点不对劲
ZombieINC_challenge_tier3_DefenseConstruction_description,Quests,Quest Info,,x,"You should be able to find the buried chest more quickly than in the normal mission I sent you.\n\nGo there and bring back my stuff.",,"你应该能比我给你的普通任务更快地找到埋藏的箱子。\n\n去那里把我的东西拿回来。"
ZombieINC_challenge_tier3_DefenseConstruction_offer,Quests,Quest Info,,x,"I need you to investigate some events that happened yesterday. It seems that someone is digging up our buried supplies. You will find some wood, supplies, and a zombielure that we use to escape from problematic situations. Go there and see if you can bring back the remaining stuff, okay?",,"我需要你调查一下昨天发生的一些事。好像有人在挖我们埋在地下的物资。你会发现一些木材，补给，和一个我们用来脱险的僵尸诱饵。去那里看看你能不能把剩下的东西带回来，好吗?"
ZombieINC_challenge_tier3_DefenseConstruction_completion,Quests,Quest Info,,x,"Thanks for your help! Everything is in perfect state. I have doubts if they really tried to steal from us or were just testing us.\n\nIf you still had some wood of that chest, I can buy it as a Bonus reward",,"感谢你的帮助!一切都很完美。我怀疑他们是不是真的想偷我们的东西，或者只是在考验我们。如果你还有一些箱子里的木头，我可以把它买下来作为奖励。"
ZombieINC_challenge_tier3_DefenseConstruction_response,Quests,Quest Info,,x,Defense Area([DECEA3]{treasure.distance}{treasure.direction}[-]),,"防守区域([DECEA3]{treasure.distance}{treasure.direction}[-])"
ZombieINC_challenge_tier3_DefenseConstruction_statement,Quests,Quest Info,,x,"Be careful, it almost like someone is controlling the zombies.",,"小心点，好像有人在控制僵尸。"
ZombieINC_challenge_tier4_DefenseConstruction_name,Quests,Quest Info,,x,Tier 4 Defend The Area,,4级 坚守阵地
ZombieINC_challenge_tier4_DefenseConstruction_subtitle,Quests,Quest Info,,x,Something Is Not Right Again,,还是有点不对劲
ZombieINC_challenge_tier4_DefenseConstruction_description,Quests,Quest Info,,x,"Our plan is very simple. On your side, you will do the same thing as last time. Things will change on our side. Scouts are in strategic positions to see who is guiding and manipulating the zombie aggro toward our trader station.",,"我们的计划很简单。在你这边，你要做和上次一样的事。而我们这边，侦察兵会去战略位置，看看是谁在引导和操纵僵尸攻击我们的贸易站。"
ZombieINC_challenge_tier4_DefenseConstruction_offer,Quests,Quest Info,,x,"The Mole returns. That's what people are calling the person who dug up our buried supplies last time. But something strange happened after you got the location, do you remember? An ambush was set up towards me. We think that the Mole will try to do the same thing again, but this time we have a plan.\n\nDo you mind taking part in it?",,"鼹鼠回来了。大家都这么称呼上次挖出我们埋藏物资的人。但在你找到地点后发生了奇怪的事，你还记得吗?有人对我设下了埋伏。我们认为间谍还会做同样的事，但这次我们有个计划。\n\n你参加吗?"
ZombieINC_challenge_tier4_DefenseConstruction_completion,Quests,Quest Info,,x,"Well, they caught us off guard again. At least you are alive. I will call you again when I have another plan.\n\nAs last time, If you still had some wood of that chest, I can buy it as a Bonus reward",,“他又打了我们一个措手不及。至少你还活着。我有其他计划时再打电话给你。和上次一样，如果你还有箱子里的木头，我可以买下来作为奖励。”
ZombieINC_challenge_tier4_DefenseConstruction_response,Quests,Quest Info,,x,Defense ([DECEA3]{treasure.distance}{treasure.direction}[-]),,防守([DECEA3]{treasure.distance}{treasure.direction}[-])
ZombieINC_challenge_tier4_DefenseConstruction_statement,Quests,Quest Info,,x,"Well, it happened again, but now it is time to put a plan in action",,"好吧，它又发生了，但现在是时候实施计划了。"
ZombieINC_challenge_tier5_DefenseConstruction_name,Quests,Quest Info,,x,Tier 5 Defend The Trader,,5级 坚守阵地
ZombieINC_challenge_tier5_DefenseConstruction_subtitle,Quests,Quest Info,,x,Something Is Changing,,时来运转
ZombieINC_challenge_tier5_DefenseConstruction_description,Quests,Quest Info,,x,"Our plan is very simple; you must have heard this before. The thing that changes this time is that we don't have a plan. You like that? So go there, attract that horde with the lure, and kill them all.",,"我们的计划很简单;你以前一定听说过。这次不同的是，我们没有计划。你喜欢吗?去吧，用诱饵吸引那群人，把他们都杀了。"
ZombieINC_challenge_tier5_DefenseConstruction_offer,Quests,Quest Info,,x,"We have suffered with innumerable hordes, and this time it seems to be merging and getting bigger every day. We still haven't confirmed the presence of bandits, but given the events that are happening recently, it is reasonable to conclude that they have finally arrived in the region. This type of zombie coordination must be something artificially made by them, just as we do when we want to loot the city. For now, I want you to [DECEA3]aggro these hordes[-] far away from here and [DECEA3]kill them all[-]. If nothing is done, these zombies might attack us. Deal?",,"我们已经遭受了无数的袭击，这一次，它似乎每天都在合并和扩大。我们还没有证实土匪的存在，但考虑到最近发生的事件，我们有理由得出结论，他们终于到达了这个地区。这种类型的僵尸协作一定是他们人为制造的，就像我们想抢劫城市时做的一样。现在，我要你把他们赶到离这里很远的地方并把他们都杀了。如果不采取行动，这些僵尸可能会攻击我们。成交?"
ZombieINC_challenge_tier5_DefenseConstruction_completion,Quests,Quest Info,,x,"WOW! I'm glad that I'm alive, and of course I'm glad you are alive too! Hahaha! You need to prepare yourself for what's to come. It will only get worse. Here is your reward.",,"WOW!我很高兴我还活着，当然我也很高兴你还活着!哈哈哈!你需要为即将到来的事情做好准备。情况只会变得更糟。这是你的报酬。"
ZombieINC_challenge_tier5_DefenseConstruction_response,Quests,Quest Info,,x,Defense ([DECEA3]{treasure.distance}{treasure.direction}[-]),,防守([DECEA3]{treasure.distance}{treasure.direction}[-])
ZombieINC_challenge_tier5_DefenseConstruction_statement,Quests,Quest Info,,x,"Our moments of peace have come to an end; the time has changed.",,"我们的和平时刻已经结束;时代变了。"
ZombieINC_challenge_tier6_DefenseConstruction_name,Quests,Quest Info,,x,Tier 6 Defend The Trader,,6级 坚守阵地
ZombieINC_challenge_tier6_DefenseConstruction_subtitle,Quests,Quest Info,,x,Some Things Never Changes,,木已成舟
ZombieINC_challenge_tier6_DefenseConstruction_description,Quests,Quest Info,,x,"Our plan is very simple, but this time it's very risky. I think I'm getting old; I keep repeating myself ahahahahah! That might be my last joke. I don't have many things to say. Humanity never changes. Even with these zombies, we could be living in peace with nature. But here we are with a war to fight. I'm giving you a warrior's helmet; you are part of us now.",,"我们的计划很简单，但这次风险很大。我觉得我老了;我一直在重复我的话，哈哈哈!这可能是我最后一个笑话了。我没什么可说的。人类永远不会改变。即使有这些僵尸，我们也能与大自然和平共处。但现在我们有一场战争要打。我要给你一顶战士的头盔;你现在是我们的一员了。"
ZombieINC_challenge_tier6_DefenseConstruction_offer,Quests,Quest Info,,x,"An immense amount of zombies are approaching the station. We don't have time to build a properly base to hold them elsewhere. It will be right here and now. Lastly, all I can say is that if I survive this, I will pay you with all I have! Are you with me, my friend?",,"大量的僵尸正在向车站靠近。我们没有时间建一个合适的基地把他们关在别处。就在此时此地。最后，我要说的是，如果我能活下来，我会倾家荡产付给你报酬!你明白我的意思吗，我的朋友?"
ZombieINC_challenge_tier6_DefenseConstruction_completion,Quests,Quest Info,,x,"We have survived, but just for now... More is to come. Those bandits will not stop. Things will only get worse. Here's all I have for you. I could give you more, but I still have a lot of people to maintain. Keep your eyes open; I might need your help again.",,"我们活了下来，但就目前而言……以后还有的受呢。那些土匪不会善罢甘休的。事情只会变得更糟。我只能给你这些了，因为我还有很多人要养。时刻保持警惕;我可能还会需要你的帮助。"
ZombieINC_challenge_tier6_DefenseConstruction_response,Quests,Quest Info,,x,Defense ([DECEA3]{treasure.distance}{treasure.direction}[-]),,防守([DECEA3]{treasure.distance}{treasure.direction}[-])
ZombieINC_challenge_tier6_DefenseConstruction_statement,Quests,Quest Info,,x,"Quickly, the night is coming! We need to kill them before that; if not, it might become the coldest and longest night for all of us.",,"快点，夜幕降临了!我们得在那之前杀了他们;否则，这可能会成为我们所有人最寒冷最漫长的夜晚。"
ZombieINC_tier3_DefenseConstruction_Annotation,gameevents,,,X,"The trader has been ambushed, I can hear the horde. I need to do something! It seems that this buried supplies are untouched. I will use the supplies to build my own defenses and the ZombieLure to attract the horde that is heading toward the trader.",,"商人被伏击了，我能听到尸群的声音。我得做点什么!看来这些埋藏的物资没有被碰过。我可以使用这些物资来建立我自己的防御工事和僵尸诱饵来吸引向商人处前进的尸群。"
ZombieINC_tier3_DefenseConstruction_BeltTooltip,gameevents,,,X,"The Trader Have Been Ambushed",,"商人被伏击了"
ZombieINC_tier3_DefenseConstruction_Annotation_title,Journal Tip,,,x,"Tier 3 Defense Area Player's Thoughts",,"3级 坚守阵地 内心想法"
ZombieINC_tier3_DefenseConstruction_ChatMessage,Journal Tip,,,x,"| [FF6600]Player's Mind:[-]  When I'm ready, I will put the Lure to start the fight",,"| [FF6600]内心想法：[-]等我准备好了，我就释放诱饵并开始战斗"
ZombieINC_tier4_DefenseConstruction_Annotation,gameevents,,,X,"Oh crap, this time they sent the horde towards me, I can see it. Our plan failed, and it seems that this horde is much bigger than last time. They want to kill me.",,"哦我草，这次他们派了一大群人来找我，我能看到。我们的计划失败了，看来这次的尸群比上次要大得多。他们真想杀了我
"
ZombieINC_tier4_DefenseConstruction_BeltTooltip,gameevents,,,X,"You Have Been Ambushed",,"你被伏击了"
ZombieINC_tier4_DefenseConstruction_Annotation_title,Journal Tip,,,x,"Tier 4 Defense Area Player's Thoughts",,"4级 坚守阵地 内心想法"
ZombieINC_tier4_DefenseConstruction_ChatMessage,Journal Tip,,,x,"| [FF6600]Player's Mind:[-] This time I can't decide when to start fighting. I need to act now. It seens that the trader has been ambushed",,"| [FF6600]内心想法：[-]这次我决定不了什么时候开始战斗。但是我现在需要采取行动。看来那个商人中了埋伏。"
ZombieINC_Defense_ChatMessage_HotFixBow1,gameevents,,,X,"| [FF6600]Game Tip:[-] Your Party Needs To Shoot The Arrow At The Same Time",,"| [FF6600]游戏提示：[-]你的队伍需要同时发射这支箭"
ZombieINC_DefenseChatCrateWarning,gameevents,,,X,"| [FF6600]Game:[-] Only take the items of ONE crate.",,"| [FF6600]游戏提示：[-]只需要带一个箱子里的东西。"
ZombieINC_DefenseBeltCrateWarning,gameevents,,,X,"Only take the items of ONE crate.",,"只需要带一个箱子里的东西。"
ZombieINC_Defense_BeltTooltip_HotFix1,gameevents,,,X,"You Need To Go OutSide",,"你需要出去走走"
ZombieINC_Defense_ChatMessage_HotFix1,gameevents,,,X,"| [FF6600]Player's Mind:[-] I need to go outside at the entrance every wave, so the zombies can see me. After that, I can go back inside.",,"| [FF6600]内心想法：[-]我每波都要从入口处出去，这样僵尸才能看到我。然后我就可以回去了。"
ZombieINC_Defense_BeltTooltip_ZombiesNearby,gameevents,,,X,"Cant't Activate",,"无法启动"
ZombieINC_Defense_ChatMessage_ZombiesNearby,gameevents,,,X,"| [FF6600]Player's Mind:[-] Cant't activate, there are zombies nearby",,"| [FF6600]内心想法：[-]无法启动，附近有僵尸"
ZombieINC_Defense_BeltTooltip_Wave1,gameevents,,,X,"Wave 1 Finished",,"第一波次结束"
ZombieINC_Defense_ChatMessage_Wave1,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the First wave",,"| [FF6600]内心想法：[-]我挺过了第一波。"
ZombieINC_Defense_BeltTooltip_Wave2,gameevents,,,X,"Wave 2 Finished",,"第二波次结束"
ZombieINC_Defense_ChatMessage_Wave2,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Second wave",,"| [FF6600]内心想法：[-]我挺过了第二波。"
ZombieINC_Defense_BeltTooltip_Wave3,gameevents,,,X,"Wave 3 Finished",,"第三波次结束"
ZombieINC_Defense_ChatMessage_Wave3,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Third wave",,"| [FF6600]内心想法：[-]我挺过了第三波。"
ZombieINC_Defense_BeltTooltip_Wave4,gameevents,,,X,"Wave 4 Finished",,"第四波次结束"
ZombieINC_Defense_ChatMessage_Wave4,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Fourth wave",,"| [FF6600]内心想法：[-]我挺过了第四波。"
ZombieINC_Defense_BeltTooltip_Wave4_Surprise,gameevents,,,X,"Wave Surprise Finished",,"惊喜波次结束"
ZombieINC_Defense_ChatMessage_Wave4_Surprise,gameevents,,,X,"| [FF6600]Player's Mind:[-] Oh shit! I'm still alive",,"| [FF6600]内心想法：[-]我操，我居然还活着"
ZombieINC_Defense_ChatMessage_Wave4_Begin,gameevents,,,X,"| [FF6600]Player's Mind:[-] Why there is another horde ?",,"| [FF6600]内心想法：[-]为什么还有一群？"
ZombieINC_Defense_BeltTooltip_Wave5,gameevents,,,X,"Wave 5 Finished",,"第五波次结束"
ZombieINC_Defense_ChatMessage_Wave5,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Fifth wave",,"| [FF6600]内心想法：[-]我挺过了第五波。"
ZombieINC_Defense_BeltTooltip_Wave6,gameevents,,,X,"Wave 6 Finished",,"第六波次结束"
ZombieINC_Defense_ChatMessage_Wave6,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Sixth wave",,"| [FF6600]内心想法：[-]我挺过了第六波。"
ZombieINC_Defense_BeltTooltip_Wave7,gameevents,,,X,"Wave 7 Finished",,"第七波次结束"
ZombieINC_Defense_ChatMessage_Wave7,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Seventh wave",,"| [FF6600]内心想法：[-]我挺过了第七波。"
ZombieINC_Defense_ChatMessage_Wave7Begin,gameevents,,,X,"| [FF6600]Player's Mind:[-] What is this sound ? Something very bad is coming our way !",,
ZombieINC_Defense_BeltTooltip_Wave8,gameevents,,,X,"Wave 8 Finished",,"第八波次结束"
ZombieINC_Defense_ChatMessage_Wave8,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Eighth wave",,"| [FF6600]内心想法：[-]我挺过了第八波。"
ZombieINC_Defense_BeltTooltip_Wave9,gameevents,,,X,"Wave 9 Finished",,"第九波次结束"
ZombieINC_Defense_ChatMessage_Wave9,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Ninth wave",,"| [FF6600]内心想法：[-]我挺过了第九波。"
ZombieINC_Defense_BeltTooltip_Wave10,gameevents,,,X,"Wave 10 Finished",,"第十波次结束"
ZombieINC_Defense_ChatMessage_Wave10,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Tenth wave",,"| [FF6600]内心想法：[-]我挺过了第十波。"
ZombieINC_Defense_BeltTooltip_DefenseT6,gameevents,,,X,"We have been ambushed",,"我们被埋伏了"
ZombieINC_Defense_ChatMessage_DefenseT6,gameevents,,,X,"| [FF6600]Player's Mind:[-] Oh Shit! The Zeds Arrived",,"| [FF6600]内心想法：[-]操，ZEDS来了。"
ZombieINC_Defense_ChatMessage_DefenseT6Trader,gameevents,,,X,"| [FF6600]Trader's Voice:[-] You can't keep inside, go over there! The mission will fail if you insist",,"| [FF6600]商人的声音：[-]你不能待在里面，到外边去!如果继续待在里面任务就会失败"
ZombieINC_Defense_ChatMessage_DefenseT6Game,gameevents,,,X,"| [FF6600]Game:[-] The time limit is 12 seconds",,"| [FF6600]提示：[-]限时12秒"
ZombieINC_MultiplayerCheckChatMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] I need to wait for the remaining partners.",,"| [FF6600]内心想法：[-]我需要等下其他的人。"
ZombieINC_ArrowLandingSuccessBeltTooltipMessage,gameevents,,,X,"Your arrow reached enough height",,"你的箭射得够高了"
ZombieINC_ArrowLandingExplanationBeltTooltipMessage,gameevents,,,X,"You need to aim TOTALLY VERTICALLY",,"你需要完全垂直地瞄准"
ZombieINC_ArrowLandingFailedBeltTooltipMessage,gameevents,,,X,"Your arrow did not reach enough height",,"你的箭没有达到足够的高度"
ZombieINC_ArrowLandingSuccessChatMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] I got it.",,"| [FF6600]内心想法：[-]好了。"
ZombieINC_ArrowLandingExplanationChatMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] If I remember correct, he said that I need to aim Totally Vertically.",,"| [FF6600]内心想法：[-]如果我没记错的话，他说我需要完全垂直瞄准。"
ZombieINC_ArrowLandingExplanationChatMessage2,gameevents,,,X,"| [FF6600]Player's Mind:[-] Okay, need to shot the flare again.",,"| [FF6600]内心想法：[-]好了，需要再发射一次信号弹。"
ZombieINC_ArrowLandingFailedChatMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] Oh crap, not high enough.",,"| [FF6600]内心想法：[-]还不够高。"
ZombieINC_crate_T1,entityclasses,Entity,,x,Air Drop,,空投
ZombieINC_crate_T2,entityclasses,Entity,,x,Air Drop,,空投
ZombieINC_ammoArrowFlare,items,item,,x,Arrow with Flare,,带信号弹的箭矢
ZombieINC_ammoArrowFlareDesc,items,item,,x,A Quest Item.,,任务物品
ZombieINC_Borrowed_gunBowT0PrimitiveBow,items,item,,x,A Borrowed Old Bow.,,借来的旧弓。
ZombieINC_Borrowed_gunBowT0PrimitiveBowDesc,items,item,,x,A Quest Item.,,任务物品
ZombieINC_resourceSmellEnhancer,items,item,,x,Smell Enhancer,,气味增强剂
ZombieINC_resourceSmellEnhancer,items,item,,x,Smell Enhancer,,气味增强剂
ZombieINC_resourceSmellEnhancerDesc,items,item,,x,"Grandma's secrets. A Quest Ingredient for the Zombie Dog Bait\n\nRecipe for Zombie Dog Bait is already in the crafting menu",,"奶奶的秘密配方。\n\n僵尸狗诱饵的任务原料。诱饵的配方已经添加至制作菜单。"
ZombieINC_BossDogBait,items,item,,x,Zombie Dog Bait,,"僵尸狗诱饵"
ZombieINC_BossDogBaitDesc,items,item,,x,"Quest Item. Use this item when you reach and activate the rally point.\n\nTo use this item press key (Mouse Button 1)",,"当你到达并激活集结点时使用此物品。\n\n按鼠标左键使用此物品。"
ZombieINC_BossDogBaitInfested,items,item,,x,"Zombie Dog Bait (Infested)",,"僵尸狗诱饵（感染）"
ZombieINC_woodShapes:VariantHelper,blocks,Block,,x,Borrowed Wood,,借来的木材
materialZombieINC_Mwood_shapes,blocks,Block,,x,Borrowed Wood,,借来的木材
ZombieINC_woodGroupDesc,blocks,Block,,x,"A borrowed quest item, half durability, and way more resources needed to upgrade due to the long time it was stored.\n\nYou can sell the remaining ones to the trader as a bonus reward",,"一个借来的任务道具，一半耐久度，由于存储时间太长，需要更多的资源来升级。你可以把剩下的卖给交易者以换取奖励。"
ZombieINC_cobblestoneShapes:VariantHelper,blocks,Block,,x,Borrowed Cobblestone,,借来的鹅卵石
materialZombieINC_Mcobblestone_shapes,blocks,Block,,x,Borrowed Cobblestone,,借来的鹅卵石
ZombieINC_cobblestoneGroupDesc,blocks,Block,,x,"A borrowed quest item, half durability, and way more resources needed to upgrade due to the long time it was stored.\n\nYou can sell the remaining ones to the trader as a bonus reward",,"一个借来的任务道具，一半耐久度，由于存储时间太长，需要更多的资源来升级。你可以把剩下的卖给交易者以换取奖励。"
ZombieINC_ZombieINC_BuriedChestDogBossT2,blocks,Block,,x,Buried Chest ,,埋藏的箱子
zombieinc_isindoorscheckerdisplay,buffs,Buff,,x,"Time Limit",,"时间限制"
zombieinc_isindoorscheckerdisplaydesc,buffs,Buff,,x,"Your Time Limit is 12 seconds",,"你的时限为12秒"
ZombieINC_BuriedChestDefenseConstructionT3,blocks,Block,,x,Buried Chest ,,埋藏的箱子
ZombieINC_BuriedChestDefenseT3,,,,x,"Buried Chest",,"埋藏的箱子"
ZombieINC_BuriedChestDefenseConstructionT4,blocks,Block,,x,Buried Chest ,,埋藏的箱子
ZombieINC_BuriedChestDefenseT4,,,,x,"Buried Chest",,"埋藏的箱子"
ZombieINC_BuriedChestDefenseConstructionT5,blocks,Block,,x,Buried Chest ,,埋藏的箱子
ZombieINC_BuriedChestDefenseT5,,,,x,"Buried Chest",,"埋藏的箱子"
ZombieINC_BuriedChestDefenseConstructionT6,blocks,Block,,x,Buried Chest ,,埋藏的箱子
ZombieINC_BuriedChestDefenseT6,,,,x,"Buried Chest",,"埋藏的箱子"
ZombieINC_capChimneyLargeSmoke,blocks,Block,,x,ZombieLure Machine,,僵尸诱饵机
ZombieINC_WarriorArmorSteelHelmet,items,item,,x,"Warrior's Helmet",,"战士的头盔"
difficulty_very easy,Quests,Quests,,x,Very Easy,,非常简单
difficulty_easy,Quests,Quests,,x,Easy,,简单
difficulty_medium,Quests,Quests,,x,Medium,,中等
difficulty_Hard,Quests,Quests,,x,Hard,,困难
difficulty_hard,Quests,Quests,,x,Hard,,
difficulty_very Hard,Quests,Quests,,x,Very Hard,,非常困难
difficulty_very hard,Quests,Quests,,x,Very Hard,,非常困难
difficulty_insane,Quests,Quests,,x,Insane,,疯狂
difficulty_Insane,Quests,Quests,,x,Insane,,疯狂
difficulty_Ridiculous,Quests,Quests,,x,Ridiculous,,难以置信
difficulty_ridiculous,Quests,Quests,,x,Ridiculous,,难以置信
ZombieINC_BossCraven,entityclasses,Entity,,x,The Craven Boss,,胆小鬼
ZombieINC_MinionCraven1,entityclasses,Entity,,x,Minion Craven,,胆小鬼的好兄弟
ZombieINC_BossWitch,entityclasses,Entity,,x,The Witch Boss,,女巫
ZombieINC_BossWitchInfested,entityclasses,Entity,,x,The Mother,,教母
ZombieINC_BossWitchMinionInfested,entityclasses,Entity,,x,Lower Clergy Witch,,低级女巫
ZombieINC_BossDog,entityclasses,Entity,,x,Alpha Dog Boss,,领头犬
ZombieINC_MinionDog1,entityclasses,Entity,,x,Minion Dog,,领头犬的仆从
ZombieINC_BossBiker,entityclasses,Entity,,x,The Biker Boss,,暴走族
ZombieINC_MinionBiker1,entityclasses,Entity,,x,Newbie Biker,,暴走族菜鸟
